_id,SL No.,Platform,Bus Route,Starting From,Destination,VIA,Image_Directory
159,159,14-A,171,Kempegowda Bus Stand,KORAMANGALA,"CORPORATION, BANGALORE DAIRY",/Transport_Pics/9.jpg
160,160,14-A,171-B,Kempegowda Bus Stand,KORAMANGALA 8TH BLOCK,"SHANTHINAGAR, WILSON GARDEN",/Transport_Pics/10.jpg
161,161,14-A,171-C,Kempegowda Bus Stand,KORAMANGALA KENDRIYA SADANA,"NIMHANS, BANGLORE DAIRY",/Transport_Pics/11.jpg
162,162,14-A,171-D,Kempegowda Bus Stand,VENKATAPURA,"CORPORATION, BANGALORE DAIRY",/Transport_Pics/12.jpg
163,163,14-B,171-F,Kempegowda Bus Stand,KORAMANGALA HOUSING COMPANY,"SHANTI NAGAR, BANGLORE DAIRY",/Transport_Pics/13.jpg
164,164,14-B,171-G,Kempegowda Bus Stand,KORAMANGALA,"CORPORATION, HOSUR ROAD, KALYANA MANTAPA",/Transport_Pics/14.jpg
165,165,14-B,171-H,Kempegowda Bus Stand,KORAMANGALA HOUSING COMPANY,"CORPORATION, DAIRY, AUDUGODI",/Transport_Pics/15.jpg
166,166,14-B,171-J,Kempegowda Bus Stand,KORAMANGALA,"BANGLORE DAIRY, KRM, KALYANA MANTAPA",/Transport_Pics/16.jpg
167,167,14-B,171-PP,Kempegowda Bus Stand,KORAMNAGALA,"CORPORATION, DAIRY, AUDUGODI",/Transport_Pics/17.jpg
168,168,15-D,353-C,Kempegowda Bus Stand,JIGANI,"MADIVALA, RAJAPURA",/Transport_Pics/18.jpg
169,169,15-D,354-C,Kempegowda Bus Stand,MARASUR,"MADIVALA, KOODLU GATE, IGLURU",/Transport_Pics/19.jpg
170,170,15-D,355-A,Kempegowda Bus Stand,SREERAMPURA,"HEBBAGODI, MARADEVANHALLI",/Transport_Pics/20.jpg
171,171,15-D,355-C,Kempegowda Bus Stand,JIGANI,"KOODLU GATE, TEMPLE CROSS",/Transport_Pics/21.jpg
172,172,15-D,355-Q,Kempegowda Bus Stand,DYAVASANDRA,"MADIVALA, KONAPPANA AGRAHARA",/Transport_Pics/22.jpg
173,173,15-D,356,Kempegowda Bus Stand,CHANDAPURA,"SINGASANDRA, BTL COLLEGE",/Transport_Pics/23.jpg
174,174,15-D,356-A,Kempegowda Bus Stand,TATTANAHALLI,"KOODLU GATE, BYRADEVAHALLI",/Transport_Pics/24.jpg
175,175,15-D,356-C,Kempegowda Bus Stand,ELECTRONIC CITY,"SINGASANDRA, KONAPPANA AGRAHARA",/Transport_Pics/25.jpg
176,176,15-D,356-D,Kempegowda Bus Stand,SAMPUGENAGAR,"MADIVALA, HUSKURU GATE",/Transport_Pics/1.jpg
177,177,17-D,335-A,Kempegowda Bus Stand,SATHYA SAI HOSPITAL,"MILITARY HOSPITAL, MARATHAHALLI",/Transport_Pics/2.jpg
178,178,17-D,335-F,Kempegowda Bus Stand,LAL BAHADUR SHASTRI NAGAR,"MAYOHALL, HAL MAIN GATE",/Transport_Pics/3.jpg
179,179,17-D,336-B,Kempegowda Bus Stand,KEMPAPURA,"DOMLURU, YAMALURU",/Transport_Pics/4.jpg
180,180,17-D,381,Kempegowda Bus Stand,THIMMASANDRA,"HALASURU, HALAPPANAHALLI",/Transport_Pics/5.jpg
181,181,18,131,Kempegowda Bus Stand,DOOPANAHALLI,"CORPORATION, ULSOOR",/Transport_Pics/6.jpg
182,182,18,131-B,Kempegowda Bus Stand,OLD BYAPPANAHALLI,"MAYOHALL, ULSOOR",/Transport_Pics/7.jpg
183,183,18,131-C,Kempegowda Bus Stand,DOMLURU,"ULSOOR, DOOPANAHALLI",/Transport_Pics/8.jpg
184,184,18,314-H,Kempegowda Bus Stand,DOMLURU,MALLESHPALYA,/Transport_Pics/9.jpg
185,185,18,314-D,Kempegowda Bus Stand,"INDIRANAGAR, ESI HOSPITAL",VIGNANANAGAR,/Transport_Pics/10.jpg
186,186,18,314-B,Kempegowda Bus Stand,JEEVANABHIMA NAGAR,C.V. RAMAN NAGAR,/Transport_Pics/11.jpg
187,187,18,138-D,Kempegowda Bus Stand,JEEVANABHIMA NAGAR,"K.R. CIRCLE, ULSOOR",/Transport_Pics/12.jpg
188,188,18-A,314-B,Kempegowda Bus Stand,C.V. RAMAN NAGAR,"HALASURU, NAGAVARAPALYA",/Transport_Pics/13.jpg
189,189,18-A,314-D,Kempegowda Bus Stand,288 VIGNYANA NAGAR,"MAYOHALL, MALLESHPALYA",/Transport_Pics/14.jpg
190,190,18-A,314-E,Kempegowda Bus Stand,D.R.D.O. TOWNSHIP,"HALASURU, KAGGADASAPURA",/Transport_Pics/15.jpg
191,191,18-A,314-G,Kempegowda Bus Stand,BYRASANDRA,"MEYOHALLI, BEML GATE",/Transport_Pics/16.jpg
192,192,18-A,314-H,Kempegowda Bus Stand,MALLESH PALYA,"CORPORATION, THIPPASANDRA CROSS",/Transport_Pics/17.jpg
193,193,18-A,314-T,Kempegowda Bus Stand,BASAVANAGAR,"HALASURU, MALLESH PALYA",/Transport_Pics/18.jpg
194,194,18-A,314-X,Kempegowda Bus Stand,ABBAIAREDDY LAYOUT,"HALASURU, VIGNANANAGAR",/Transport_Pics/19.jpg
195,195,18-A,314-Z,Kempegowda Bus Stand,JAGADISHANAGAR,"HALASURU, BEML GATE",/Transport_Pics/20.jpg
196,196,19,126,Kempegowda Bus Stand,JEEVANAHALLI,"INDIAN EXPRESS, COLES PARK",/Transport_Pics/21.jpg
197,197,19,129,Kempegowda Bus Stand,SHIVAJINAGAR,"VIDHANA SOUDHA, INDIAN EXPRESS",/Transport_Pics/22.jpg
198,198,19,290,Kempegowda Bus Stand,NAGAVARA,"VIDHAN SOUDHA, COLES PARK",/Transport_Pics/23.jpg
199,199,19,290-B,Kempegowda Bus Stand,NAGAVARA,"INDIAN EXPRESS, CANTONMENT",/Transport_Pics/24.jpg
200,200,19,290-T,Kempegowda Bus Stand,HBR LAYOUT 1ST STAGE,"INDIAN EXPRESS, KACHAKANAHALLI",/Transport_Pics/25.jpg
201,201,19,290-J,Kempegowda Bus Stand,MESTRI PALYA,"INDIAN EXPRESS, NAGAVARA",/Transport_Pics/1.jpg
202,202,19,291-H,Kempegowda Bus Stand,RK HEGDE NAGAR,"VIDHANA SOUDHA, MUSLIM COLONY",/Transport_Pics/2.jpg
203,203,19,291-M,Kempegowda Bus Stand,GOVINDAPURA,"INDIAN EXPRESS, COLES PARK",/Transport_Pics/3.jpg
204,204,19,302-F,Kempegowda Bus Stand,BABASAB PALYA,"COLES PARK, SUBBAIAHNA PALYA",/Transport_Pics/4.jpg
205,205,19,302-B,Kempegowda Bus Stand,JALAVAYU VIHARA,"ITC FACTORY, KAMMANAHALLI",/Transport_Pics/5.jpg
206,206,19,302-K,Kempegowda Bus Stand,LINGARAJAPURA KHB COLONY,"KR CIRCLE, MARUTHISEVANAGAR",/Transport_Pics/6.jpg
207,207,19,302-N,Kempegowda Bus Stand,KALYANANAGAR,"VASANTHANAGAR, COLES PARK",/Transport_Pics/7.jpg
208,208,19,302-A,Kempegowda Bus Stand,BABASAB PALYA,"KR CIRCLE, ITC FACTORY",/Transport_Pics/8.jpg
209,209,19-A,292-A,Kempegowda Bus Stand,K NARAYANAPURA,"SHIVANANDA STORE, HEBBALA",/Transport_Pics/9.jpg
210,210,19-A,292-B,Kempegowda Bus Stand,NAGARESH NAGENAHALLI,"CONTONMENT, LINGARAJAPURA",/Transport_Pics/10.jpg
211,211,19-A,292-C,Kempegowda Bus Stand,K NARAYANAPURA,"INDIAN EXPRESS, ITC",/Transport_Pics/11.jpg
212,212,19-A,293-N,Kempegowda Bus Stand,GEDDALAHALLI,"INDIAN EXPRESS, COLES PARK",/Transport_Pics/12.jpg
213,213,19-A,293-H,Kempegowda Bus Stand,DASANAYAKANAHALLI,"INDIAN EXPRESS, BAGALURU",/Transport_Pics/13.jpg
214,214,19-A,294-E,Kempegowda Bus Stand,BILISHIVALAYA,"INDIAN EXPRESS, KACHAKANAHALLI",/Transport_Pics/14.jpg
215,215,19-A,295-A,Kempegowda Bus Stand,DODDAGUBBI,"CONTONMENT, HENNUR CROSS",/Transport_Pics/15.jpg
216,216,19-A,295-B,Kempegowda Bus Stand,ANGALIPURA,"INDIAN EXPRESS, GEDDALAHALLI",/Transport_Pics/16.jpg
217,217,19-A,296-A,Kempegowda Bus Stand,YARABNAHALLI,"PULKESHINAGAR, CHIKKAGUBBI CROSS",/Transport_Pics/17.jpg
218,218,19-B,296-B,Kempegowda Bus Stand,HBR LAYOUT 5TH STAGE,"COLES PARK, HBR LAYOUT, K.P.T.C.L. OFFICE",/Transport_Pics/18.jpg
219,219,19-B,296-C,Kempegowda Bus Stand,KALYANANAGAR,"COLES PARK, LINGARAJAPURA",/Transport_Pics/19.jpg
220,220,19-B,296-N,Kempegowda Bus Stand,KADA AGRHARA,"VASANTHANAGAR, CLARENCE SCHOOL",/Transport_Pics/20.jpg
221,221,19-B,296-T,Kempegowda Bus Stand,HBR LAYOUT 1ST STAGE,"CLARENCE SCHOL, KACHARAKANAHALLI",/Transport_Pics/21.jpg
222,222,19-B,296-V,Kempegowda Bus Stand,"HBR, BDA COMPLEX","CONTONMENT, LINGARAJAPURA",/Transport_Pics/22.jpg
223,223,19-B,300-B,Kempegowda Bus Stand,BANASWADI,"MARUTHI, SEVANAGAR",/Transport_Pics/23.jpg
224,224,19-B,300-C,Kempegowda Bus Stand,K.R. PURAM,"COLES PARK, BANASWADI",/Transport_Pics/24.jpg
225,225,19-B,415-H,Kempegowda Bus Stand,AMARAJYOTHI LAYOUT,"HEBBALA, NAGAWARA",/Transport_Pics/25.jpg
226,226,19-C,56,Kempegowda Bus Stand,JAGAJEEVANRAM NAGAR,"KR MARKET, SIRASI CIRCLE",/Transport_Pics/1.jpg
227,227,19-C,57-A,Kempegowda Bus Stand,BAPUJINAGAR,"CORPORATION, SIRASI CIRCLE",/Transport_Pics/2.jpg
228,228,19-C,58,Kempegowda Bus Stand,TIMBER YARD LAYOUT,"CORPORATION, NEW GUDDADAHALLI",/Transport_Pics/3.jpg
229,229,19-C,58-C,Kempegowda Bus Stand,TELECOM LAYOUT,"KR MARKET, BAPUJINAGAR",/Transport_Pics/4.jpg
230,230,19-C,59-D,Kempegowda Bus Stand,NAYANDAHALLI RAILWAY GATE,"KR MARKET, ATTIGUPPE",/Transport_Pics/5.jpg
231,231,19-C,218-A,Kempegowda Bus Stand,KAMBIPURA,"M.C.T.C. BUS STATION, KENGERI",/Transport_Pics/6.jpg
232,232,19-C,221-A,Kempegowda Bus Stand,TAVAREKERE,"NAYANDAHALLI, KOMMAGHATTA",/Transport_Pics/7.jpg
233,233,19-D,222-C,Kempegowda Bus Stand,NAGADEVANAHALLI,"BAPUJINAGAR, NAYANDAHALLI, KENGERI",/Transport_Pics/8.jpg
234,234,19-D,225-CB,Kempegowda Bus Stand,B.H.E.L. LAYOUT,"COTTONPETE, R.R. TEMPLE, B.H.E.L. LAYOUT CROSS",/Transport_Pics/9.jpg
235,235,19-D,225-G,Kempegowda Bus Stand,BANGARAPPANAGAR,"KR MARKET, BPUJINAGAR, DEVADIGA SOUDHA",/Transport_Pics/10.jpg
236,236,19-D,225-H,Kempegowda Bus Stand,SHAKTI HILLS RESORTS,"COTTONPETE, NAYANDAHALLI, DEVADIGA SOUDHA",/Transport_Pics/11.jpg
237,237,19-D,405,Kempegowda Bus Stand,KEMPEGOWDA BUS STATION,"COTTONPETE, R.V. COLLEGE, MALLATHAHALLI, KAMAKSHIPALYA",/Transport_Pics/12.jpg
238,238,20-A,250-S,Kempegowda Bus Stand,GELEYARA BALAGA,"YESHWANTHPUR, DASARAHALLI",/Transport_Pics/13.jpg
239,239,20-A,250-Y,Kempegowda Bus Stand,KUDARAGERE COLONY,"YESHWANTHPUR, SEEDEDAHALLI",/Transport_Pics/14.jpg
240,240,20-A,250-SA,Kempegowda Bus Stand,KUDARAGERE,"R.M.C. YARD, THOTADAGUDDAHALLI",/Transport_Pics/15.jpg
241,241,20-A,250-CB,Kempegowda Bus Stand,MALLASANDRA,"R.M.C. YARD, BAGALAGUNTE CROSS",/Transport_Pics/16.jpg
242,242,20-A,251-B,Kempegowda Bus Stand,RAJANUKUNTE,"YESHWANTHPUR, HESARAGHATTA CROSS",/Transport_Pics/17.jpg
243,243,20-A,252,Kempegowda Bus Stand,PEENYA 2ND STAGE,"YESHWANTHPUR, JALAHALLI CROSS",/Transport_Pics/18.jpg
244,244,20-A,252-C,Kempegowda Bus Stand,MACHOHALLI,"YESHWANTHPUR, SUNKADAKATTE",/Transport_Pics/19.jpg
245,245,20-A,252-D,Kempegowda Bus Stand,RAJNI FORUM,"YESHWANTHPUR, JALAHALLI CROSS",/Transport_Pics/20.jpg
246,246,20-A,252-E,Kempegowda Bus Stand,LAGGERE,"R.M.C. YARD, JALAHALLI CROSS",/Transport_Pics/21.jpg
247,247,20-C,258-T,Kempegowda Bus Stand,KANNAMANGALA,"DASARAHALLI, NELAMANGALA",/Transport_Pics/22.jpg
248,248,20-C,258-VA,Kempegowda Bus Stand,BYRASANDRA,"JALAHALLI CROSS, NELAMANGALA",/Transport_Pics/23.jpg
249,249,20-C,258-VB,Kempegowda Bus Stand,CHIKKAMARANAHALLI,"YESHWANTHPUR, NELAMANGALA",/Transport_Pics/24.jpg
250,250,20-C,258-VD,Kempegowda Bus Stand,BETTASANDRA,"JALAHALLI CROSS, NELAMANGALA",/Transport_Pics/25.jpg
251,251,20-C,258-WA,Kempegowda Bus Stand,JODIRAGITHIMMASANDRA,"YESHWANTHPUR, NELAMANGALA",/Transport_Pics/1.jpg
252,252,20-C,261,Kempegowda Bus Stand,PEENYA 2ND STAGE,MALLESHWARAM RAILWAY STATION,/Transport_Pics/2.jpg
253,253,20-C,263-D,Kempegowda Bus Stand,K.R.S. GOWDA LAYOUT,"YESHWANTHPUR, DASARAHALLI",/Transport_Pics/3.jpg
254,254,20-C,263-F,Kempegowda Bus Stand,BYADARAHALLI,"MALLESHWARAM, NELAGEDARANAHALLI",/Transport_Pics/4.jpg
255,255,20-C,263-G,Kempegowda Bus Stand,GANGONDANAHALLI,"YESHWANTHPUR, NELAGEDARANAHALLI",/Transport_Pics/5.jpg
256,256,21,82,Kempegowda Bus Stand,KEMPEGOWDA BUS STAND,"HARISHCHANDRAGHAT, YESHWANTHPUR",/Transport_Pics/6.jpg
257,257,21,82-A,Kempegowda Bus Stand,YESHWANTHPUR RAILWAY STATION,"MALLESHWARAM, YESHWANTHPUR",/Transport_Pics/7.jpg
258,258,21,82-C,Kempegowda Bus Stand,YESHWANTHPUR RAILWAY STATION,"CENTRAL, YESHWANTHPUR",/Transport_Pics/8.jpg
259,259,21,90-E,Kempegowda Bus Stand,YESHWANTHPUR RAILWAY STATION,"CENTRAL, YESHWANTHPUR",/Transport_Pics/9.jpg
260,260,21,98-B,Kempegowda Bus Stand,RMV 2ND STAGE,"MALLESHWARAM, DEVASANDRA",/Transport_Pics/10.jpg
261,261,21,98-E,Kempegowda Bus Stand,LAKSHMIDEVI NAGAR,"YESHWANTHPUR, KANTIRAVANAGAR",/Transport_Pics/11.jpg
262,262,21,98-F,Kempegowda Bus Stand,VIDHANASOUDHA LAYOUT,"MALLESHWARAM 8TH CROSS, GORGUNTEPALYA",/Transport_Pics/12.jpg
263,263,21,98-G,Kempegowda Bus Stand,LOTTEGOLLAHALLI,"MALLESHWARAM, DEVASANDRA",/Transport_Pics/13.jpg
264,264,21,99-B,Kempegowda Bus Stand,CHOWDESHWARI BUS STAND,"MALLESHWARAM, MATTHIKERE",/Transport_Pics/14.jpg
265,265,22,266-H,Kempegowda Bus Stand,MARASANDRA CIRCLE,"MATTHIKERE, MS PALYA, DIBBUR",/Transport_Pics/15.jpg
266,266,22,269,Kempegowda Bus Stand,RAMACHANDRAPURA,"MALLESHWARAM, BEL CIRCLE",/Transport_Pics/16.jpg
267,267,22,269-B,Kempegowda Bus Stand,VIDYARANYAPURA,"MATTHIKERE, BALIGA CIRCLE",/Transport_Pics/17.jpg
268,268,22,271,Kempegowda Bus Stand,JALAHALLI EAST AREA CAMP,"BEL CIRCLE, JALAHALLI EAST",/Transport_Pics/18.jpg
269,269,22,271-A,Kempegowda Bus Stand,ABBIGERE,"MATTHIKERE, GANGAMMA CIRCLE",/Transport_Pics/19.jpg
270,270,22,271-B,Kempegowda Bus Stand,KUVEMPUNAGAR 2ND STAGE,MATTHIKERE,/Transport_Pics/20.jpg
271,271,22,271-C,Kempegowda Bus Stand,SINGAPURA,"BEL MARKET, KUVEMPUNAGAR",/Transport_Pics/21.jpg
272,272,22,271-D,Kempegowda Bus Stand,JALAHALLI VILLAGE,"MALLESHWARAM, MUTHYALANAGAR",/Transport_Pics/22.jpg
273,273,22,271-E,Kempegowda Bus Stand,VEERASAGARA,"MALLESHWARAM, MS PALYA",/Transport_Pics/23.jpg
274,274,22-B,276,Kempegowda Bus Stand,VIDYARANYAPURA,"MALLESHWARAM, DEVASANDRA",/Transport_Pics/24.jpg
275,275,22-B,276-C,Kempegowda Bus Stand,LOTTEGOLLAHALLI,"MALLESHWARAM, DEVASANDRA",/Transport_Pics/25.jpg
276,276,22-B,276-J,Kempegowda Bus Stand,YELAHANKA,"MATHIKERE, ATTUR LAYOUT",/Transport_Pics/1.jpg
277,277,23,279-C,Kempegowda Bus Stand,TATANAGAR,"MEKHRI CIRCLE, NAGASHETTIHALLI",/Transport_Pics/2.jpg
278,278,23,279-E,Kempegowda Bus Stand,BHOOPASANDRA,"RAJMAHAL GUTTAHALLI, GEDDALAHALLI",/Transport_Pics/3.jpg
279,279,23,279-K,Kempegowda Bus Stand,PATELAPPA LAYOUT,"MEKHRI CIRCLE, ASHWATHNAGAR",/Transport_Pics/4.jpg
280,280,23,281-F,Kempegowda Bus Stand,KANNAMANGALA GATE,"MEKHRI CIRCLE, HUNASAMARANAHALLI",/Transport_Pics/5.jpg
281,281,23,282-F,Kempegowda Bus Stand,MARANAYAKANAHALLI,"HEBBAL, BETTAHALASURU CROSS",/Transport_Pics/6.jpg
282,282,23,282-G,Kempegowda Bus Stand,KODAGALAHATTI,"MEKHRI CIRCLE, YELAHANKA",/Transport_Pics/7.jpg
283,283,23,284,Kempegowda Bus Stand,YELAHANKA,"MEKHRI CIRCLE, BYATARAYANAPURA",/Transport_Pics/8.jpg
284,284,23,284-C,Kempegowda Bus Stand,NYAYANGA BADAVANE,"RAJMAHAL GUTTAHALLI, ALLALASANDRA",/Transport_Pics/9.jpg
285,285,23,415-H,Kempegowda Bus Stand,AMARJYOTHI LAYOUT,"HEBBALA, NAGAVARA",/Transport_Pics/10.jpg
286,286,23-A,284-D,Kempegowda Bus Stand,YELAHANKA NEW TOWN,"RAJMAHAL GUTTAHALLI, BYATARAYANAPURA",/Transport_Pics/11.jpg
287,287,23-A,285-M,Kempegowda Bus Stand,DODDABALLAPURA,"BYATARAYANAPURA, RAJANUKUNTE",/Transport_Pics/12.jpg
288,288,23-A,286-F,Kempegowda Bus Stand,K NARAYANAPURA,"HEBBALA, BYATARAYANAPURA",/Transport_Pics/13.jpg
289,289,23-A,286-G,Kempegowda Bus Stand,JAKKUR,"MEKHRI CIRCLE, BYATARAYANAPURA",/Transport_Pics/14.jpg
290,290,23-A,287-G,Kempegowda Bus Stand,COFFEE BOARD LAYOUT,"MEKHRI CIRCLE, MILITARY DAIRY FORUM",/Transport_Pics/15.jpg
291,291,23-A,287-J,Kempegowda Bus Stand,CHAMUNDESHWARINAGAR,"RAJMAHAL GUTTAHALLI, HEBBAL",/Transport_Pics/16.jpg
292,292,23-A,288-D,Kempegowda Bus Stand,KODIGEHALLI,"MEKHRI CIRCLE, HEBBAL",/Transport_Pics/17.jpg
293,293,23-A,288-G,Kempegowda Bus Stand,KODIGEHALLI CANARA BANK COLONY,"MEKHRI CIRCLE, HEBBAL",/Transport_Pics/18.jpg
294,294,23-B,288-H,Kempegowda Bus Stand,THINDLU,"MEKHRI CIRCLE, SANJEEVINI NAGAR",/Transport_Pics/19.jpg
295,295,23-B,289-M,Kempegowda Bus Stand,BEGUR,"MEKHRI CIRCLE, YELAHANKA",/Transport_Pics/20.jpg
296,296,23-B,297-G,Kempegowda Bus Stand,NERAGANAHALLI,"HEBBALA, SADAHALLI",/Transport_Pics/21.jpg
297,297,23-B,298-G,Kempegowda Bus Stand,ERATAGANAHALLI,"HEBBAL, CHIKKAJALA",/Transport_Pics/22.jpg
298,298,23-B,298-M,Kempegowda Bus Stand,DEVANAHALLI,"YELAHANKA, CHIKKAJALA",/Transport_Pics/23.jpg
299,299,23-B,298-MA,Kempegowda Bus Stand,BOMMAVARA,"HEBBAL, KANNAMANGALA GATE",/Transport_Pics/24.jpg
300,300,23-B,402-B,Kempegowda Bus Stand,YELAHANKA NEW TOWN 5TH STAGE,"HEBBAL, YELAHANKA NEW TOWN",/Transport_Pics/25.jpg
301,301,23-C,297-J,Kempegowda Bus Stand,NERAGANAHALLI,"HEBBALA, SADAHALLI",/Transport_Pics/1.jpg
302,302,23-C,298-G,Kempegowda Bus Stand,ERATAGANAHALLI,"HEBBALA, CHIKKAJALA",/Transport_Pics/2.jpg
303,303,23-C,298-M,Kempegowda Bus Stand,DEVANAHALLI,"YELAHANKA, CHIKKAJALA",/Transport_Pics/3.jpg
304,304,23-C,298-MA,Kempegowda Bus Stand,BOMMAVARA,"HEBBAL, KANNAMANGALA GATE",/Transport_Pics/4.jpg
305,305,23-C,402-B,Kempegowda Bus Stand,YELAHANKA NEW TOWN 5TH STAGE,"HEBBAL, YELAHANKA NEW TOWN",/Transport_Pics/5.jpg
306,306,24,108-B,Kempegowda Bus Stand,GANGANAGAR,"VASANTHANAGAR, MUNIREDDYPALYA",/Transport_Pics/6.jpg
307,307,24,111-C,Kempegowda Bus Stand,KAVALBYRASANDRA,"VASANTHANAGAR, MUNIREDDYPALYA",/Transport_Pics/7.jpg
308,308,24,114-C,Kempegowda Bus Stand,SULTHANAPALYA,"VASANTHANAGAR, MUNIREDDYPALYA",/Transport_Pics/8.jpg
309,309,24,415-A,Kempegowda Bus Stand,SHYAMPUR,"VASANTHANAGAR, HMT LAYOUT",/Transport_Pics/9.jpg
310,310,24,415-B,Kempegowda Bus Stand,VISHWANATHA NAGENAHALLI,"VASANTHANAGAR, HMT LAYOUT",/Transport_Pics/10.jpg
311,311,25,104,Kempegowda Bus Stand,SADASHIVANAGAR,"CENTRAL, MALLESHWARAM",/Transport_Pics/11.jpg
312,312,25-A,145,Kempegowda Bus Stand,NEELASANDRA,"CORPORATION, NANJAPPA CIRCLE, AUSTIN TOWN",/Transport_Pics/12.jpg
313,313,25-A,145-A,Kempegowda Bus Stand,NEELASANDRA ROSE GARDEN,"CORPORATION, NANJAPPA CIRCLE, AUSTIN TOWN, NEELASANDRA",/Transport_Pics/13.jpg
314,314,25-A,146,Kempegowda Bus Stand,VIVEK NAGAR,"CORPORATION, NANJAPPA CIRCLE, AUSTIN TOWN",/Transport_Pics/14.jpg
315,315,25-A,146-B,Kempegowda Bus Stand,SRINIVAGILU,"CORPORATION, NANJAPPA CIRCLE, AUSTIN TOWN, EJIPURA",/Transport_Pics/15.jpg
316,316,25-A,146-E,Kempegowda Bus Stand,EJIPURA,"CORPORATION, NANJAPPA CIRCLE, AUSTIN TOWN, VIVEK NAGAR",/Transport_Pics/16.jpg
317,317,25-B,340-A,Kempegowda Bus Stand,H.S.R. LAYOUT (CAMBRIDGE SCHOOL),"MAHARANI COLLEGE, DIARY CIRCLE, AGARA, PARANGIPALYA",/Transport_Pics/17.jpg
318,318,25-B,340-M,Kempegowda Bus Stand,H.S.R. 2ND SECTOR (CAMBRIDGE SCHOOL),"MAHARANI COLLEGE, WILSON GARDEN, JAKKASANDRA, PARANGIPALYA",/Transport_Pics/18.jpg
319,319,25-B,340-L,Kempegowda Bus Stand,HOSUR MAIN ROAD,"CORPORATION, BELLANDUR MAIN ROAD, CENTRAL JAIL",/Transport_Pics/19.jpg
320,320,25-B,340-H,Kempegowda Bus Stand,KORAMANGALA,"CORPORATION, DIARY CIRCLE",/Transport_Pics/20.jpg
321,321,25-B,340-G,Kempegowda Bus Stand,BDA COMPLEX,"ADUGODI, JAKKASANDRA, H.S.R. LAYOUT 2ND SECTOR",/Transport_Pics/21.jpg
322,322,25-B,340-F,Kempegowda Bus Stand,PARANGIPALYA,"WILSON GARDEN, ADUGODI",/Transport_Pics/22.jpg
323,323,25-B,341-D,Kempegowda Bus Stand,BELANDURU,"CORPORATION, DIARY CIRCLE, AGADA",/Transport_Pics/23.jpg
324,324,25-B,341-E,Kempegowda Bus Stand,HARALUR,"CORPORATION, JAKKASANDRA, HARALUR CROSS",/Transport_Pics/24.jpg
325,325,25-B,342-F,Kempegowda Bus Stand,SARJAPUR,"CORPORATION, JAKKASANDRA, DODDAKANNELLI, AMERE",/Transport_Pics/25.jpg
326,326,26,KBS-3A,Kempegowda Bus Stand,ATTIBELE,"MADIWALA, BOMMANAHALLI, SINGASANDRA, HEBBAGODI, CHANDAPURA",/Transport_Pics/1.jpg
327,327,26,KBS-3C,Kempegowda Bus Stand,CHANDAPURA,"MADIWALA, BOMMANAHALLI, SINGASANDRA, HEBBAGODI, NARAYANA HRUDAYALAYA",/Transport_Pics/2.jpg
328,328,26,KBS-3E,Kempegowda Bus Stand,ELECTRONIC CITY WIPRO GATE,"MADIWALA, BOMMANAHALLI, KONAPPANA AGRAHARA",/Transport_Pics/3.jpg
329,329,26,342-F,Kempegowda Bus Stand,SARJAPURA,"CORPORATION, SHANTHI NAGAR, KORAMANGALA 1ST BLOCK, BELLANDUR GATE",/Transport_Pics/4.jpg
330,330,26,343-A,Kempegowda Bus Stand,HULLAHALLI,"MADIWALA, BOMMANAHALLI, HONGSANDRA, BETTADASANAPURA CROSS",/Transport_Pics/5.jpg
331,331,26,343-B,Kempegowda Bus Stand,KODICHIKKANAHALLI,LALBAGH,/Transport_Pics/6.jpg
332,332,26,343-L,Kempegowda Bus Stand,HONGASANDRA MICO LAYOUT,"MADIWALA, BOMMANAHALLI, HONGASANDRA",/Transport_Pics/7.jpg
333,333,26,343-K,Kempegowda Bus Stand,VISHWAPRIYA LAYOUT,"MADIWALA, BOMMANAHALLI, HONGASANDRA",/Transport_Pics/8.jpg
334,334,26,344-B,Kempegowda Bus Stand,BETTADASANAPURA,"MADIWALA, BOMMANAHALLI, BEGURU",/Transport_Pics/9.jpg
335,335,26-A,346-C,Kempegowda Bus Stand,RAYASANDRA,"BANGLORE DAIRY, MADIWALA, KUDLE GATE, HOSA ROAD",/Transport_Pics/10.jpg
336,336,26-A,346-H,Kempegowda Bus Stand,PARAPPANA AGRAHARA,"BANGLORE DAIRY, MADIWALA, KUDLE GATE, HOSA ROAD",/Transport_Pics/11.jpg
337,337,26-A,346-CK,Kempegowda Bus Stand,KARNATAKA SLUM BOARD,"MADIWALA, HOSA ROAD, CENTRAL JAIL",/Transport_Pics/12.jpg
338,338,26-A,347-H,Kempegowda Bus Stand,BASAPURA,"MADIWALA, SINGASANDRA, HOSA ROAD",/Transport_Pics/13.jpg
339,339,26-A,346-N,Kempegowda Bus Stand,DODDATHOGURU MUNESHWARA TEMPLE,"MADIWALA, SINGASANDRA, KONAPPANA AGRAHARA",/Transport_Pics/14.jpg
340,340,26-A,346-V,Kempegowda Bus Stand,DODDANAGAMANGALA,"MADIWALA, BOMMANAHALLI, SINGASANDRA",/Transport_Pics/15.jpg
341,341,26-A,347-B,Kempegowda Bus Stand,KUDLU,"MADIWALA, BOMMANAHALLI",/Transport_Pics/16.jpg
342,342,26-A,347-C,Kempegowda Bus Stand,CHIKKA BEGUR,"MADIWALA, BOMMANAHALLI, HOSA ROAD",/Transport_Pics/17.jpg
